_id,disc_number,duration_ms,explicit,external_ids,id,is_local,is_playable,name,popularity,preview_url,track_number,type,uri
6417839ec901a82deddf7570,1,323120,True,{'isrc': 'USUG11801035'},0QLuexVmR2wgNsekPKbv6c,False,True,OSOM (feat. J. Cole),56,,7,track,spotify:track:0QLuexVmR2wgNsekPKbv6c
6417839ec901a82deddf7571,1,199960,True,{'isrc': 'USUG11801034'},2YaOQzBkhejBu5d4CyGsfS,False,True,Tap Out (feat. Jeremih),55,,6,track,spotify:track:2YaOQzBkhejBu5d4CyGsfS
6417839ec901a82deddf7572,1,211613,True,{'isrc': 'USUG11801040'},3thNB1fmi1wuhJ1vWCRuNz,False,True,Redemption (feat. SZA),54,,12,track,spotify:track:3thNB1fmi1wuhJ1vWCRuNz
6417839ec901a82deddf7573,1,283751,True,{'isrc': 'TCACH1591450'},2SIdGJTWirTxRNEyCp9ocI,False,True,Vice City (feat. Black Hippy),50,https://p.scdn.co/mp3-preview/46e910db8255368c41f1aacc35cf6596bd9985fe?cid=cb4ec505f95b416290dde5564512932e,8,track,spotify:track:2SIdGJTWirTxRNEyCp9ocI
6417839ec901a82deddf7574,1,140339,True,{'isrc': 'USUG11801036'},73FGHY5jZ1b6Ia1o15UPqC,False,True,Shit Real (feat. Tee Grizzley),50,,14,track,spotify:track:73FGHY5jZ1b6Ia1o15UPqC
6417839ec901a82deddf7575,1,226666,True,{'isrc': 'USWB12102078'},5YZpdsmpazPtBHFbGN8mon,False,True,True Story (feat. Jay Rock & Jay Worthy),48,https://p.scdn.co/mp3-preview/c0e2049cdfa1911badf8a6e42b33908934a2869d?cid=cb4ec505f95b416290dde5564512932e,9,track,spotify:track:5YZpdsmpazPtBHFbGN8mon
6417839fc901a82deddf7576,1,167693,False,{'isrc': 'USWB11902440'},4j5ffIFh7bFT7GZciP1TCy,False,True,"10,000 Hours (with Justin Bieber)",69,https://p.scdn.co/mp3-preview/0ca349b64ab033e00df659986c9be7b0cb151fc2?cid=cb4ec505f95b416290dde5564512932e,11,track,spotify:track:4j5ffIFh7bFT7GZciP1TCy
6417839fc901a82deddf7577,1,213386,False,{'isrc': 'USWB11800928'},3GJ4hzg4lrGwU51Y3VARbF,False,True,Speechless,70,https://p.scdn.co/mp3-preview/debf88dcd55688f29c5863e8f99f39f11997870b?cid=cb4ec505f95b416290dde5564512932e,7,track,spotify:track:3GJ4hzg4lrGwU51Y3VARbF
6417839fc901a82deddf7578,1,196746,False,{'isrc': 'USWB11702518'},42fw0rxRO2xbesF6mJfd4Y,False,True,Tequila,68,https://p.scdn.co/mp3-preview/bf69830f0ee23284aa7559c2f1938ce883797837?cid=cb4ec505f95b416290dde5564512932e,2,track,spotify:track:42fw0rxRO2xbesF6mJfd4Y
6417839fc901a82deddf7579,1,144760,False,{'isrc': 'USWB12100034'},3oV2RVOmwdWdf9BmGS4Oad,False,True,Glad You Exist,63,https://p.scdn.co/mp3-preview/ff1f308c7bfb9ee10b709e82c2fea2a4498b4a1d?cid=cb4ec505f95b416290dde5564512932e,10,track,spotify:track:3oV2RVOmwdWdf9BmGS4Oad
